,predictions,labels
701,104,156
702,140,164
703,140,166
704,119,151
705,86,145
706,75,47
707,31,44
708,31,44
709,32,37
710,30,39
711,28,39
712,24,35
713,27,40
714,29,44
715,37,50
716,46,58
717,47,60
718,53,77
719,64,97
720,70,101
721,74,112
722,88,117
723,97,120
724,104,127
725,110,138
726,109,137
727,92,126
728,85,119
729,72,122
730,73,50
731,72,56
732,82,74
733,83,68
734,90,70
735,98,74
736,88,73
737,75,61
738,62,49
739,41,50
740,48,56
741,50,81
742,71,90
743,81,112
744,96,124
745,106,124
746,101,133
747,110,131
748,108,122
749,109,134
750,109,140
751,113,146
752,124,159
753,136,166
754,145,54
755,41,50
756,50,50
757,48,50
758,41,47
759,39,43
760,34,40
761,30,39
762,31,39
763,31,37
764,36,47
765,62,77
766,78,90
767,75,91
768,68,98
769,75,107
770,85,117
771,91,124
772,94,124
773,98,120
774,89,122
775,89,140
776,111,154
777,112,149
778,102,41
779,34,49
780,41,56
781,43,59
782,46,59
783,59,59
784,64,54
785,55,54
786,53,54
787,43,54
788,57,56
789,53,70
790,65,84
791,74,95
792,93,103
793,92,122
794,99,117
795,92,117
796,97,114
797,96,105
798,77,117
799,95,124
800,99,130
801,104,138
802,127,45
803,41,45
804,45,50
805,51,50
806,47,53
807,47,45
808,41,43
809,44,47
810,46,45
811,45,50
812,47,58
813,57,70
814,62,77
815,59,92
816,77,99
817,83,113
818,99,117
819,100,126
820,94,119
821,99,117
822,115,122
823,93,127
824,98,129
825,98,120
826,87,54
827,52,58
828,57,65
829,56,66
830,56,58
831,66,60
832,71,56
833,61,53
834,54,47
835,49,54
836,54,56
837,55,67
838,62,74
839,70,99
840,83,107
841,87,117
842,96,122
843,89,112
844,92,117
845,97,127
846,97,145
847,113,144
848,117,154
849,117,179
850,115,131
851,91,127
852,76,126
853,69,124
854,90,127
855,86,122
856,76,122
857,76,124
858,74,130
859,77,130
860,81,114
861,70,65
862,31,136
863,109,151
864,98,152
865,111,155
866,107,148
867,96,112
868,72,103
869,88,110
870,80,85
871,64,72
872,52,50
873,55,50
874,49,116
875,103,127
876,80,133
877,84,117
878,81,108
879,72,101
880,80,88
881,68,63
882,38,51
883,34,35
884,17,11
885,9,14
886,9,3
887,10,13
888,9,40
889,17,73
890,69,161
891,97,141
892,112,141
893,107,141
894,110,129
895,101,122
896,88,92
897,56,71
898,43,156
899,152,152
900,129,144
901,110,137
902,99,135
903,100,134
904,97,136
905,90,137
906,89,131
907,77,137
908,89,133
909,89,152
910,107,181
911,128,176
912,120,169
913,126,170
914,118,144
915,95,108
916,74,113
917,95,99
918,80,80
919,74,61
920,61,50
921,61,45
922,54,136
923,133,131
924,109,127
925,90,124
926,91,130
927,92,129
928,83,135
929,83,134
930,90,135
931,81,119
932,79,101
933,59,66
934,36,129
935,118,140
936,115,154
937,132,161
938,112,144
939,98,124
940,89,122
941,105,124
942,97,99
943,74,81
944,63,59
945,53,51
946,55,149
947,102,145
948,87,138
949,85,136
950,86,135
951,84,107
952,67,101
953,62,116
954,99,127
955,79,75
956,27,32
957,22,47
958,37,53
959,23,84
960,79,137
961,93,149
962,93,146
963,99,149
964,102,149
965,111,187
966,144,170
967,107,138
968,92,95
969,59,54
970,52,116
971,74,116
972,81,120
973,79,122
974,76,119
975,79,114
976,65,110
977,74,103
978,62,103
979,66,122
980,78,117
981,70,127
982,73,79
983,39,54
984,33,138
985,98,133
986,97,149
987,115,161
988,132,138
989,112,120
990,100,138
991,112,112
992,88,81
993,66,80
994,65,166
995,164,158
996,133,143
997,100,138
998,91,131
999,88,122
1000,79,122
1001,75,124
1002,70,124
1003,72,145
1004,90,158
1005,102,179
1006,114,184
1007,120,181
1008,126,179
1009,122,167
1010,106,143
1011,83,103
1012,72,95
1013,77,85
1014,66,75
1015,61,61
1016,54,54
1017,58,50
1018,51,140
1019,111,143
1020,102,144
1021,98,138
1022,95,138
1023,94,136
1024,92,133
1025,85,131
1026,83,131
1027,87,136
1028,88,138
1029,86,126
1030,81,141
1031,117,172
1032,114,170
1033,113,170
1034,120,159
1035,104,124
1036,81,101
1037,77,89
1038,73,82
1039,74,82
1040,78,84
1041,83,74
1042,75,138
1043,132,137
1044,93,133
1045,87,122
1046,81,117
1047,83,113
1048,72,116
1049,74,117
1050,74,124
1051,79,137
1052,92,126
1053,80,161
1054,116,178
1055,125,161
1056,116,179
1057,120,167
1058,112,135
1059,78,114
1060,80,101
1061,74,88
1062,66,84
1063,77,66
1064,51,59
1065,56,49
1066,49,116
1067,104,114
1068,82,117
1069,81,113
1070,82,108
1071,73,107
1072,67,107
1073,72,107
1074,82,101
1075,61,95
1076,71,103
1077,70,75
1078,38,45
1079,41,124
1080,96,143
1081,120,140
1082,97,137
1083,102,120
1084,82,120
1085,109,130
1086,107,117
1087,79,87
1088,64,61
1089,50,54
1090,55,136
1091,134,130
1092,96,127
1093,98,119
1094,73,113
1095,76,114
1096,74,117
1097,71,122
1098,74,126
1099,74,117
1100,77,103
1101,64,122
1102,83,169
1103,118,170
1104,115,169
1105,116,170
1106,114,143
1107,80,117
1108,79,114
1109,83,105
1110,76,81
1111,68,65
1112,63,49
1113,58,45
1114,52,47
1115,41,49
1116,43,54
1117,40,47
1118,32,47
1119,33,49
1120,42,54
1121,43,60
1122,47,59
1123,47,59
1124,53,65
1125,47,73
1126,59,75
1127,65,87
1128,68,95
1129,84,97
1130,67,97
1131,67,87
1132,66,81
1133,72,88
1134,78,99
1135,83,110
1136,89,120
1137,118,120
1138,101,60
1139,33,59
1140,34,54
1141,40,54
1142,33,59
1143,40,60
1144,52,68
1145,58,70
1146,62,68
1147,54,68
1148,55,45
1149,62,82
1150,70,87
1151,82,94
1152,91,94
1153,87,101
1154,87,103
1155,95,105
1156,89,110
1157,89,113
1158,99,117
1159,91,116
1160,86,45
1161,36,50
1162,36,37
1163,37,43
1164,33,45
1165,35,50
1166,49,56
1167,53,56
1168,60,59
1169,58,63
1170,76,70
1171,68,81
1172,94,90
1173,94,91
1174,97,93
1175,90,95
1176,76,89
1177,73,85
1178,71,84
1179,83,93
1180,94,107
1181,107,109
1182,104,126
1183,113,126
1184,110,51
1185,38,50
1186,36,51
1187,36,47
1188,33,42
1189,35,50
1190,40,49
1191,47,54
1192,54,61
1193,57,64
1194,64,66
1195,68,72
1196,80,84
1197,91,93
1198,88,101
1199,83,103
1200,80,98
1201,76,85
1202,78,89
1203,83,88
1204,88,101
1205,90,105
1206,95,116
1207,102,114
1208,110,56
1209,58,56
1210,53,56
1211,46,50
1212,51,50
1213,51,49
1214,45,50
1215,50,50
1216,46,51
1217,43,59
1218,51,65
1219,47,70
1220,67,81
1221,83,89
1222,82,93
1223,72,113
1224,70,117
1225,78,93
1226,67,93
1227,80,112
1228,106,114
1229,94,129
1230,99,134
1231,101,135
1232,83,75
1233,72,81
1234,68,75
1235,65,59
1236,53,54
1237,50,63
1238,51,64
1239,48,64
1240,46,68
1241,46,71
1242,49,67
1243,57,70
1244,64,75
1245,67,87
1246,74,89
1247,80,92
1248,77,95
1249,82,101
1250,90,101
1251,85,99
1252,85,108
1253,90,116
1254,92,105
1255,83,109
1256,83,56
1257,54,56
1258,56,47
1259,44,42
1260,28,53
1261,45,61
1262,47,56
1263,51,56
1264,52,67
1265,59,66
1266,62,75
1267,70,84
1268,93,92
1269,97,95
1270,88,94
1271,90,94
1272,71,89
1273,66,90
1274,71,82
1275,75,91
1276,77,99
1277,84,108
1278,90,120
1279,96,127
1280,100,68
1281,64,74
1282,63,75
1283,61,68
1284,54,64
1285,51,67
1286,56,70
1287,54,68
1288,57,68
1289,60,66
1290,59,68
1291,56,70
1292,63,80
1293,78,90
1294,79,95
1295,78,93
1296,82,91
1297,72,82
1298,66,80
1299,80,95
1300,87,99
1301,93,110
1302,95,120
1303,99,120
1304,97,44
1305,33,41
1306,32,44
1307,31,47
1308,31,44
1309,31,50
1310,46,53
1311,56,45
1312,45,59
1313,46,56
1314,66,67
1315,75,64
1316,81,77
1317,83,79
1318,76,85
1319,63,85
1320,64,88
1321,65,77
1322,61,79
1323,68,81
1324,64,87
1325,85,92
1326,88,112
1327,97,122
1328,90,50
1329,44,41
1330,27,41
1331,35,42
1332,31,41
1333,40,49
1334,43,47
1335,37,47
1336,40,54
1337,47,56
1338,58,61
1339,54,67
1340,60,101
1341,71,112
1342,81,84
1343,65,82
1344,75,88
1345,80,95
1346,79,95
1347,98,105
1348,92,105
1349,86,41
1350,35,42
1351,36,41
1352,32,40
1353,31,47
1354,28,44
1355,34,50
1356,38,54
1357,41,54
1358,47,56
1359,48,65
1360,59,73
1361,72,80
1362,77,81
1363,72,85
1364,70,91
1365,66,81
1366,61,74
1367,60,81
1368,68,93
1369,74,101
1370,83,114
1371,88,114
1372,88,119
1373,80,117
1374,113,120
1375,103,120
1376,88,117
1377,103,110
1378,89,108
1379,75,110
1380,79,105
1381,77,108
1382,93,124
1383,94,138
1384,94,146
1385,109,163
1386,125,166
1387,122,173
1388,131,181
1389,133,178
1390,132,181
1391,144,191
1392,131,215
1393,151,235
1394,170,247
1395,170,259
1396,174,247
1397,151,107
1398,68,103
1399,62,108
1400,73,95
1401,65,95
1402,55,92
1403,63,91
1404,60,93
1405,64,95
1406,84,117
1407,104,133
1408,86,114
1409,74,126
1410,91,127
1411,93,133
1412,97,124
1413,90,137
1414,103,140
1415,110,143
1416,108,161
1417,135,149
1418,98,149
1419,105,152
1420,100,155
1421,94,133
1422,112,138
1423,110,138
1424,105,135
1425,104,137
1426,97,142
1427,96,130
1428,174,122
1429,133,122
1430,129,120
1431,125,120
1432,116,117
1433,105,119
1434,102,124
1435,104,127
1436,112,134
1437,99,141
1438,105,156
1439,133,169
1440,145,187
1441,148,186
1442,151,190
1443,148,187
1444,152,203
1445,160,210
1446,159,252
1447,190,264
1448,192,281
1449,197,285
1450,193,300
1451,191,117
1452,111,117
1453,112,113
1454,104,109
1455,91,105
1456,90,109
1457,86,109
1458,89,108
1459,92,116
1460,117,133
1461,100,138
1462,106,149
1463,131,164
1464,137,170
1465,146,176
1466,140,181
1467,141,179
1468,156,191
1469,164,192
1470,142,211
1471,168,228
1472,166,242
1473,167,244
1474,156,254
1475,163,127
1476,73,122
1477,63,120
1478,70,142
1479,86,124
1480,83,114
1481,84,117
1482,77,113
1483,80,119
1484,85,122
1485,87,137
1486,114,144
1487,101,151
1488,113,161
1489,119,173
1490,137,192
1491,138,219
1492,159,245
1493,174,246
1494,172,241
1495,161,218
1496,132,108
1497,61,105
1498,70,105
1499,72,103
1500,78,101
1501,76,98
1502,69,98
1503,69,98
1504,68,101
1505,68,103
1506,75,119
1507,91,133
1508,111,138
1509,96,141
1510,119,147
1511,120,158
1512,123,169
1513,149,178
1514,149,179
1515,147,208
1516,166,191
1517,125,172
1518,117,159
1519,109,156
1520,99,136
1521,141,137
1522,104,127
1523,100,122
1524,104,112
1525,93,98
1526,79,95
1527,72,103
1528,74,103
1529,88,116
1530,95,140
1531,112,152
1532,136,166
1533,143,187
1534,151,197
1535,150,186
1536,150,194
1537,154,208
1538,153,208
1539,151,233
1540,168,254
1541,176,262
1542,174,255
1543,174,264
1544,184,119
1545,84,124
1546,103,131
1547,112,126
1548,96,110
1549,90,99
1550,71,90
1551,74,89
1552,83,90
1553,88,99
1554,119,112
1555,107,120
1556,108,137
1557,114,156
1558,115,161
1559,121,164
1560,131,17
1561,133,194
1562,155,203
1563,148,224
1564,158,225
1565,155,211
1566,153,217
1567,147,117
1568,86,116
1569,67,114
1570,80,116
1571,85,98
1572,76,89
1573,70,89
1574,68,82
1575,62,93
1576,96,131
1577,106,134
1578,107,149
1579,126,163
1580,134,173
1581,134,169
1582,131,170
1583,131,181
1584,152,170
1585,122,191
1586,136,203
1587,144,207
1588,153,213
1589,155,215
1590,149,210
1591,140,108
1592,94,101
1593,76,98
1594,71,95
1595,84,95
1596,75,93
1597,79,95
1598,76,90
1599,80,92
1600,98,105
1601,77,126
1602,78,127
1603,96,145
1604,114,149
1605,115,161
1606,125,177
1607,171,178
1608,146,189
1609,162,212
1610,166,204
1611,141,190
1612,137,184
1613,143,126
1614,98,133
1615,84,127
1616,89,117
1617,86,95
1618,78,93
1619,71,93
1620,68,94
1621,69,91
1622,79,122
1623,91,135
1624,94,149
1625,110,156
1626,121,164
1627,127,167
1628,127,172
1629,133,179
1630,135,179
1631,127,191
1632,135,212
1633,155,224
1634,165,236
1635,163,239
1636,162,246
1637,166,225
1638,157,211
1639,169,219
1640,149,208
1641,144,210
1642,148,206
1643,148,199
1644,143,177
1645,132,167
1646,124,192
1647,141,212
1648,146,231
1649,164,242
1650,170,276
1651,197,317
1652,215,345
1653,225,278
1654,176,213
1655,155,227
1656,197,319
1657,212,305
1658,196,263
1659,176,258
1660,166,259
1661,167,154
1662,84,166
1663,116,164
1664,109,166
1665,102,159
1666,113,161
1667,121,163
1668,121,159
1669,121,159
1670,133,164
1671,117,203
1672,142,227
1673,163,246
1674,178,260
1675,174,284
1676,190,288
1677,192,294
1678,194,309
1679,202,364
1680,232,376
1681,231,380
1682,227,357
1683,221,324
1684,195,296
1685,163,145
1686,74,147
1687,98,149
1688,107,152
1689,112,152
1690,110,152
1691,119,147
1692,116,149
1693,109,144
1694,107,173
1695,125,204
1696,155,253
1697,186,254
1698,184,253
1699,184,274
1700,192,306
1701,207,300
1702,197,315
1703,208,317
1704,209,311
1705,201,303
1706,192,293
1707,183,285
1708,177,267
1709,167,311
1710,241,312
1711,214,273
1712,197,247
1713,183,237
1714,181,235
1715,180,244
1716,170,236
1717,168,244
1718,181,270
1719,187,275
1720,187,224
1721,171,342
1722,220,336
1723,214,231
1724,151,215
1725,164,208
1726,163,219
1727,170,300
1728,233,245
1729,185,256
1730,186,270
1731,198,256
1732,161,212
1733,137,187
1734,137,204
1735,158,199
1736,148,206
1737,143,218
1738,149,215
1739,152,228
1740,172,247
1741,172,263
1742,188,256
1743,182,270
1744,191,301
1745,215,344
1746,238,353
1747,232,253
1748,152,229
1749,168,200
1750,146,215
1751,163,252
1752,186,297
1753,206,288
1754,193,298
1755,189,207
1756,136,190
1757,115,178
1758,111,181
1759,121,239
1760,154,181
1761,130,172
1762,120,159
1763,117,151
1764,104,161
1765,116,222
1766,182,294
1767,203,306
1768,199,334
1769,217,360
1770,214,357
1771,205,344
1772,205,314
1773,202,312
1774,205,348
1775,216,362
1776,211,378
1777,207,363
1778,199,341
1779,187,155
1780,78,149
1781,93,158
1782,113,158
1783,117,159
1784,117,154
1785,121,161
1786,127,167
1787,127,177
1788,131,187
1789,146,213
1790,159,246
1791,174,261
1792,180,271
1793,182,270
1794,186,260
1795,177,329
1796,221,371
1797,245,376
1798,237,378
1799,221,379
1800,204,353
1801,190,324
1802,191,300
1803,174,261
1804,216,262
1805,172,271
1806,178,267
1807,185,254
1808,179,229
1809,152,215
1810,144,208
1811,145,199
1812,147,203
1813,157,230
1814,175,263
1815,166,263
1816,169,235
1817,172,191
1818,144,190
1819,141,194
1820,145,228
1821,175,213
1822,154,210
1823,145,204
1824,159,206
1825,143,200
1826,144,184
1827,134,167
1828,122,163
1829,123,151
1830,115,151
1831,117,149
1832,113,144
1833,107,154
1834,131,234
1835,195,313
1836,210,299
1837,196,267
1838,183,309
1839,213,383
1840,240,397
1841,244,342
1842,209,317
1843,206,298
1844,193,260
1845,169,253
1846,171,262
1847,173,260
1848,171,210
1849,142,219
1850,153,235
1851,164,212
1852,161,208
1853,161,204
1854,138,187
1855,133,179
1856,132,170
1857,124,199
1858,174,285
1859,207,259
1860,187,342
1861,224,283
1862,179,192
1863,130,172
1864,141,170
1865,123,164
1866,119,172
1867,139,166
1868,126,159
1869,116,176
1870,131,172
1871,133,164
1872,123,164
1873,113,173
1874,121,166
1875,119,183
1876,128,177
1877,125,155
1878,121,148
1879,131,159
1880,130,212
1881,147,249
1882,171,272
1883,202,297
1884,207,328
1885,213,369
1886,233,309
1887,184,260
1888,177,256
1889,182,294
1890,204,320
1891,205,315
1892,192,294
1893,179,270
1894,164,244
1895,170,250
1896,162,242
1897,165,204
1898,151,181
1899,141,190
1900,132,191
1901,134,186
1902,134,183
1903,135,217
1904,157,263
1905,180,277
1906,185,305
1907,211,210
1908,136,190
1909,144,189
1910,142,206
1911,159,242
1912,180,234
1913,162,237
1914,155,235
1915,155,267
1916,172,285
1917,179,281
1918,165,271
1919,197,250
1920,164,220
1921,149,211
1922,150,158
1923,112,159
1924,120,176
1925,132,185
1926,140,194
1927,135,181
1928,125,178
1929,130,181
1930,133,175
1931,131,161
1932,145,179
1933,132,173
1934,125,158
1935,116,169
1936,118,170
1937,114,260
1938,164,250
1939,167,241
1940,183,221
1941,152,212
1942,148,187
1943,125,164
1944,107,159
1945,122,154
1946,108,146
1947,101,191
1948,147,219
1949,152,219
1950,151,239
1951,163,233
1952,164,252
1953,173,241
1954,158,242
1955,159,218
1956,147,203
1957,139,199
1958,138,187
1959,125,164
1960,110,140
1961,96,260
1962,162,250
1963,169,220
1964,154,197
1965,145,183
1966,140,169
1967,121,155
1968,122,141
1969,105,143
1970,106,177
1971,132,222
1972,167,220
1973,163,226
1974,166,245
1975,181,250
1976,184,229
1977,154,242
1978,176,237
1979,170,228
1980,160,219
1981,159,210
1982,150,186
1983,132,172
1984,121,235
1985,198,195
1986,141,259
1987,187,273
1988,195,283
1989,208,263
1990,187,221
1991,151,191
1992,154,167
1993,124,152
1994,123,155
1995,129,181
1996,144,179
1997,141,191
1998,150,192
1999,148,186
2000,149,169
2001,125,170
2002,146,172
2003,149,169
2004,139,181
2005,133,185
2006,144,181
2007,130,291
2008,196,285
2009,185,280
2010,183,285
2011,181,278
2012,185,273
2013,180,239
2014,164,181
2015,121,172
2016,122,172
2017,122,183
2018,130,172
2019,119,172
2020,125,186
2021,134,181
2022,134,170
2023,129,167
2024,133,177
2025,149,198
2026,179,206
2027,179,176
2028,130,178
2029,133,190
2030,137,313
2031,189,289
2032,175,277
2033,176,246
2034,155,229
2035,148,218
2036,146,226
2037,157,204
2038,140,237
2039,160,249
2040,166,252
2041,167,254
2042,160,239
2043,154,230
2044,150,218
2045,146,202
2046,134,186
2047,130,204
2048,167,241
2049,164,255
2050,159,255
2051,169,247
2052,159,226
2053,141,280
2054,170,266
2055,171,246
2056,167,199
2057,133,152
2058,110,141
2059,104,138
2060,104,135
2061,101,131
2062,101,159
2063,119,199
2064,137,149
2065,116,151
2066,117,149
2067,114,144
2068,105,146
2069,116,152
2070,118,149
2071,120,149
2072,112,149
2073,123,148
2074,114,134
2075,100,129
2076,95,202
2077,174,177
2078,128,236
2079,164,226
2080,153,213
2081,151,206
2082,144,195
2083,135,144
2084,115,149
2085,128,155
2086,138,161
2087,125,166
2088,130,172
2089,137,172
2090,133,177
2091,140,185
2092,141,192
2093,160,189
2094,153,186
2095,146,191
2096,148,169
2097,123,179
2098,127,183
2099,123,240
2100,160,187
2101,131,172
2102,123,152
2103,109,130
2104,94,122
2105,90,130
2106,92,126
2107,95,95
2108,75,98
2109,79,107
2110,83,107
2111,88,131
2112,97,138
2113,101,151
2114,113,149
2115,114,145
2116,111,149
2117,119,155
2118,118,155
2119,116,158
2120,120,170
2121,123,159
2122,111,146
2123,104,172
2124,138,152
2125,107,136
2126,95,117
2127,80,131
2128,93,172
2129,134,191
2130,140,166
2131,161,187
2132,148,178
2133,142,167
2134,133,156
2135,125,156
2136,129,167
2137,130,172
2138,131,177
2139,131,169
